Nom;Region;Description;Localisation;Long;Lat;Windfinder;Windguru;Meteo France;MeteoConsult;AlloSurf;Merteo;Temp eau;Maree;OK;warn;KO;n;nne;ne;ene;e;ese;se;sse;s;ssw;sw;wsw;w;wnw;nw;nnw;URL 1;Titre 1;Commentaire 1;URL 2;Titre 2;Commentaire 2;URL 3;Titre 3;Commentaire 3;URL 4;Titre 4;Commentaire 4
Wissant ;Pas de calais;Effet venturi par sud-ouest.<br />plage de sable.<br />Vagues présentes par sud-ouest<br />Super en Sud-Ouest et en Nord Est <br />Inconvénients<br />    Courants<br />    Fréquenté avec peu de places de parking<br />    Très clapoteux et technique par vent fort<br />    La mer est loin à marée b;Prenez la sortie Wissant sur l’autoroute A16 entre Boulogne et Calais. Deux itinéraires sont possibles selon votre lieu de départ : A1 vers Calais ou A16 vers Boulogne. Après la sortie c’est fléché et il faut 10 minutes pour rejoindre la plage une fois so;1.657;50.888;http://www.windfinder.com/forecast/wissant;http://www.windguru.cz/fr/index.php?sc=110&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/wissant/62179;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-wissant-298-0.php;http://www.allosurf.net/meteo/surf/wissant-meteo-wam-1-wrf-5-96-h-285.html;http://www.merteo.fr/?spot=2157;http://www.meteocity.com/france/plage/wissant_p62899/;http://maree.info/6;0->8;8->10;;1;2;2;1;-1;-1;-1;-1;-1;2;2;2;1;1;1;1;http://www.w-idf.fr/pages/PageSpot.php?spotId=4;Titre 1;Commentaire 2;http://akifkite.fr/phpBB3/lc4_spot.php?action=DETAIL&sid=cb5eec8969ab74cc2de6e4f27369a8b0&spot_id=33&vec=nnnnnnnnnonnnnnn;Titre 3;Commentaire 3;https://intranet.ffvl.fr/sites_pratique/voir/2210;Titre 4;Commentaire 4;http://www.kitetrip-planner.com/fr/guide-des-destinations/spot/1168-wissant.html;Titre 5;Commentaire 5
Wimereux;Pas de calais;Il n'y pas de de plage à marée haute. Attention aussi aux zones Rocheuses au sud (fort de Croix) et au nord de la Plage. Attention plage interdite au kitesurf en pleine saison (Juillet-Aoùt).;"En arrivant par l'autoroute A16 sortir à Wimereux sud et à l'entrée de la ville, suivre les indications ""Centre Régional de voile"", ""Digue de mer"". Possibilités de se garer sur des places de parking face à la mer ou à proximité du club nautique. ";1.6052;50.7654;http://www.windfinder.com/forecast/wimereux;http://www.windguru.cz/fr/index.php?sc=48354&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/wimereux/62930;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-wimereux-4-0.php;http://www.allosurf.net/meteo/surf/wimereux-meteo-wam-1-wrf-5-96-h-349.html;http://www.merteo.fr/?spot=2153;http://www.meteocity.com/france/plage/wissant_p62899/;http://maree.info/7;0->6;6->7,5;7,5->10;0;0;?;-1;-1;-1;-1;0;2;2;2;1;1;1;1;1;https://intranet.ffvl.fr/sites_pratique/voir/2209;Titre 2;Commentaire 3;http://www.wimereux.biz/bigwebcam.htm;Titre 4;Commentaire 4;http://www.kitetrip-planner.com/fr/guide-des-destinations/spot/1170-wimereux.html;Titre 5;Commentaire 5;;;
Boulogne sur mer;Pas de calais;Par vent de SO le vent vient du port = raffaleux, mais le spot est protégé par un grand brise-lame, le plan d'eau est plat. <br />Plage de sable.<br />Lieu de repli quand les conditions sont trop difficiles;"Prendre l’A16 et quitter l’autoroute à la sortie 32 : Boulogne-Nord ; Wimereux-Sud ; Nausicaa. Suivre les indications Nausicaa et Boulogne et vous arriverez en vue de la rade. La plage est juste avant le centre Nausicaa.";1.594;50.7307;http://www.windfinder.com/forecast/boulogne;http://www.windguru.cz/fr/index.php?sc=108996&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/boulogne-sur-mer/62200;http://marine.meteoconsult.fr/meteo-marine/meteo-abords-du-port/manche/previsions-meteo-boulogne-sur-mer-287-0.php; ;http://www.merteo.fr/?spot=2165;http://www.meteocity.com/france/plage/wissant_p62899/;http://maree.info/7;0->10;;;1;0;-1;-1;-1;-1;-1;0;1;1;2;2;1;1;1;1;http://www.w-idf.fr/pages/PageSpot.php?spotId=7;Titre 3;Commentaire 4;;;;;;;;;
Le portel;Pas de calais;Par vent de nord et nord-est le spot est relativement plat et donc conseillé pour les débutants, en revanche lors d'un secteur sud-ouest, de force 6 ou plus la mer devient particulièrement mêler à cause d'une digue, cependant cette zone est encore pratica;Voisin de Boulogne-sur-mer;1.5816;50.7121;http://www.windfinder.com/forecast/le_portel;http://www.windguru.cz/fr/index.php?sc=109010&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/le-portel/62480;http://marine.meteoconsult.fr/meteo-marine/meteo-plage/bassin-par-defaut/previsions-meteo-plage-du-portel-691-0.php; ;http://www.merteo.fr/?spot=2411;http://www.meteocity.com/france/plage/berck_p62108/;http://maree.info/7;0->10;;;2;1;2;0;-1;-1;-1;0;0;0;1;1;1;1;1;1;https://intranet.ffvl.fr/sites_pratique/voir/13162;Titre 4;Commentaire 5;;;;;;;;;
Touquet/La baie de la Canche ;Pas de calais;La baie de la canche située au Touquet est un pur spot de vitesse.<br />La baie se remplit à marée haute tout en étant protégée des vagues par un banc de sable.<br />Courant très fort à l’embouchure par marée descendante<br />N’allez pas trop loin vers l’embouchure. A c;Prendre l’autoroute A16 sortie Le Touquet. Une fois arrivé vers le Touquet dirigez-vous vers le yachting club. A gauche de l’entrée du club se trouve un parking. Entrez dans le parking et prenez la petite route au fond à droite. Elle longe la crête sur 20;1.58701;50.5404;http://www.windfinder.com/forecast/le_touquet_paris_plage;http://www.windguru.cz/fr/index.php?sc=48359&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/le-touquet-paris-plage/62520;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-le-touquet-1788-0.php;http://www.allosurf.net/meteo/surf/le-touquet-meteo-wam-1-wrf-5-96-h-275.html;http://www.merteo.fr/?spot=2175;http://www.meteocity.com/france/plage/berck_p62108/;http://maree.info/8;5->10;4->5;0->4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;http://www.w-idf.fr/pages/PageSpot.php?spotId=6;Titre 5;Commentaire 6;https://intranet.ffvl.fr/sites_pratique/voir/2176;Titre 7;Commentaire 7;;;;;;
Le Touquet base sud;Pas de calais;La zone de décollage se situe à gauche du chenal lorsqu'on regarde la mer au niveau de la descente pour bateaux et char à voileGrande plage de sable fin réduite lors de grandes marées. zone de navigation réduite en période estivale ( zone de bain );Autoroute A 16 sortie Etaples Le Touquet Le touquet bl Pouget base nautique sud. Stationnement sur parking payant et gratuit. L'accés à la base en voiture est interdit.Descendre depuis le parking à la plage par des escaliers;1.57705;50.5171;http://www.windfinder.com/forecast/le_touquet_paris_plage;http://www.windguru.cz/fr/index.php?sc=48359&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/le-touquet-paris-plage/62520;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-le-touquet-1788-0.php;http://www.allosurf.net/meteo/surf/le-touquet-meteo-wam-1-wrf-5-96-h-275.html;http://www.merteo.fr/?spot=2175;http://www.meteocity.com/france/plage/berck_p62108/;http://maree.info/8;0->10;;;1;0;-1;-1;-1;-1;-1;0;1;1;2;2;2;2;2;1;https://intranet.ffvl.fr/sites_pratique/voir/2175;Titre 6;Commentaire 7;http://www.kitetrip-planner.com/fr/guide-des-destinations/spot/1171-le-touquet.html;Titre 8;Commentaire 8;;;;;;
Berck;Pas de calais;Vagues : plat dans les baines / vagues assez désordonnées 1m en moyenne<br />Profondeur d'eau : pieds assez loin<br />Grande plage ;A16 sortie 25 direction Berck<br />Esplanade Parmentier<br />Depuis Paris :<br />222 km / temps de parcours 2h25 / péage 12,4€ ;1.56233;50.4118;http://www.windfinder.com/forecast/berck-sur-mer;http://www.windguru.cz/fr/index.php?sc=1061&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/berck/62600;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-berck-1789-0.php;http://www.allosurf.net/meteo/surf/berck-meteo-wam-1-wrf-5-96-h-642.html;http://www.merteo.fr/?spot=2162;http://www.meteocity.com/france/plage/berck_p62108/;http://maree.info/8;0->10;;;1;0;-1;-1;-1;-1;-1;0;1;1;2;1;1;1;1;1;http://akifkite.fr/phpBB3/lc4_spot.php?action=DETAIL&spot_id=5&vec=nnnnnnnnnonnnnnn;Titre 7;Commentaire 8;https://intranet.ffvl.fr/sites_pratique/voir/2260;Titre 9;Commentaire 9;;;;;;
Fort Mahon/Quend;Somme;les zones en face des digues protégeant les 2 villes ( Quend / Fort Mahon) sont interdites au kite quelque soit la marée<br /> vagues désordonnées<br />- profondeur d'eau : pieds pas très loin<br />- plage de sable dur<br />- le spot se situe entre les 2 villes espacées d'en;Suivre Fort Mahon;1.54889;50.3436;http://www.windfinder.com/forecast/fort_mahon_plage;http://www.windguru.cz/fr/index.php?sc=559432&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/fort-mahon-plage/80120;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-fort-mahon-plage-4883-0.php; ;http://www.merteo.fr/?spot=2400;http://www.meteocity.com/france/plage/le-crotoy_p80228/;http://maree.info/150;0->10;;;1;1;-1;-1;-1;-1;-1;1;1;1;2;2;2;2;2;2;http://akifkite.fr/phpBB3/lc4_spot.php?action=DETAIL&spot_id=13&vec=nnnnnnnnnonnnnnn;Titre 8;Commentaire 9;https://intranet.ffvl.fr/sites_pratique/voir/2215;Titre 10;Commentaire 10;http://www.kitetrip-planner.com/fr/guide-des-destinations/spot/1190-nord-pdc-fort-mahon.html;Titre 11;Commentaire 11;;;
Le Crotoy;Somme;Pied partout, avec du sable. Navigable à partir de 8m d'eau (marée : coef >50).;Prendre l’autoroute A16 sortie Abbeville nord. Ensuite la direction Le Crotoy est bien panneautée. A l’entrée du Crotoy suivez la direction plage qui vous mènera au remblai. Prenez le jusqu’au bout et garez vous à coté d’un petit parc. <br />- A16 sortie 23 ve;1.613;50.224;http://www.windfinder.com/forecast/le_crotoy;http://www.windguru.cz/fr/index.php?sc=162&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/le-crotoy/80550;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-le-crotoy-450-0.php;http://www.allosurf.net/meteo/surf/crotoy-meteo-wam-1-wrf-5-96-h-277.html;http://www.merteo.fr/?spot=2134;http://www.meteocity.com/france/plage/le-crotoy_p80228/;http://maree.info/150;6->10;;0->6;0;-1;-1;-1;-1;-1;-1;0;1;1;1;1;2;1;1;1;http://www.w-idf.fr/pages/PageSpot.php?spotId=5;Titre 9;Commentaire 10;http://akifkite.fr/phpBB3/lc4_spot.php?action=DETAIL&spot_id=6&vec=nnnnnnnnnonnnnnn;Titre 11;Commentaire 11;https://intranet.ffvl.fr/sites_pratique/voir/2163;Titre 12;Commentaire 12;http://www.kitetrip-planner.com/fr/guide-des-destinations/spot/1169-le-crotoy.html;Titre 13;Commentaire 13
Cayeux-sur-Mer;Somme;La prévision de Windguru pour Cayeux est en général un peu en dessous du vent effectif<br />Il semblerait que ce soit un spot dangereux: http://forum.flysurf.com/bar/cayeux-sur-mer-spot-de-kite-t41556-10.html;Accès en venant de l'A16, direction Cayeux sur mer, sortir juste à l'entrée du bourg de la Mollière<br />traverser la Molilière jusqu’au dernier rond-point qui a une sortie sur un immense « parking » de galets.;1.519096;50.205839;http://www.windfinder.com/forecast/cayeux-sur-mer;http://www.windguru.cz/fr/index.php?sc=87904&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/cayeux-sur-mer/80410;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-cayeux-2808-0.php; ;http://www.merteo.fr/?spot=2397;http://www.meteocity.com/france/plage/le-crotoy_p80228/;http://maree.info/150;0->10;;;1;1;1;0;-1;-1;-1;-1;-1;1;2;2;2;2;2;1;http://www.kitesurf-baiedesomme.fr/webcam;Titre 10;Commentaire 11;;;;;;;;;
Saint Aubin;Seine-Maritime;Spot avec grande plage, sans risque.<br />seule spot de Haute-Normandie qui fonctionne par Est<br />Le vent y est un peu plus fort que dans le Calvados ou au Havre;On peut passer par Rouen puis direction Dieppe ou continuer sur l'A13 pour prendre le pont de Brotonne en passant par Yvetot et La Chappelle sur Dun (un peu plus long mais on évite le centre ville de Rouen). Dans tout les cas on arrive à Bourg le Dun, où ;0.862;49.893;http://www.windfinder.com/forecast/saint_aubin_sur_mer;http://www.windguru.cz/fr/index.php?vs=1&sc=371294;http://www.meteofrance.com/previsions-meteo-france/saint-aubin-sur-mer/76740;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-saint-aubin-sur-mer-185-1.php;http://www.allosurf.net/meteo/surf/st-aubin-meteo-wam-1-wrf-5-96-h-278.html;http://www.merteo.fr/?spot=2381;http://www.meteocity.com/france/plage/dieppe_p76217/;http://maree.info/14;0->7;7->10;;1;1;1;1;?;?;-1;-1;-1;-1;?;1;2;2;2;1;http://www.w-idf.fr/pages/PageSpot.php?spotId=1;Titre 11;Commentaire 12;http://akifkite.fr/phpBB3/lc4_spot.php?action=DETAIL&spot_id=4&vec=nnnnnnnnnonnnnnn;Titre 13;Commentaire 13;https://intranet.ffvl.fr/sites_pratique/voir/2247;Titre 14;Commentaire 14;;;
Veulettes-sur-Mer;Seine-Maritime;Attention à mi-marée on ne voit pas les plateaux rocheux.<br />A marée basse avec un coef moyen <80 une baie assez grande se forme avec peu d’eau et du sable en dessous.<br />C'est spot que j'aime beaucoup, malgrès la faible fréquentation, et surtout une plage de g;Dans Veulette même;0.60348;49.85421;http://www.windfinder.com/forecast/veulettes_sur_mer;http://www.windguru.cz/fr/index.php?sc=48371&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/veulettes-sur-mer/76450;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-veulettes-1795-0.php; ;http://www.merteo.fr/?spot=2142;http://www.meteocity.com/france/plage/dieppe_p76217/;http://maree.info/15;0->7;7->10;;1;1;1;0;-1;-1;-1;-1;-1;-1;0;1;1;1;1;1;http://new.funandkite.com/v2/forum_topic_view-id_topic-15158-titretopic-session+kite+veulette+sur+mer.html;Titre 12;Commentaire 13;;;;;;;;;
Antifer;Seine-Maritime;Antifer est un des meilleurs spots lorque le vent tourne Sud-Ouest avec pas mal de houle et un wind super régulier qui arrive sideshore. La plupart du temps lorsque y'a pétole sur toute la région, Antifer offre 15/20 noeuds Sud Sud-Ouest grâce a l'accélér;"Depuis Paris : A13 direction le Havre, puis au Havre, passer a St-Adresse puis direction Etretat. 20 Kms après le Havre, faites gaffe, il faut tourner a gauche direction St-Jouin. Puis direction le""Terminal Pétrolier""<br />Garez vous tout au bout du parking a ";0.156096;49.661754;http://www.windfinder.com/forecast/antifer;http://www.windguru.cz/fr/index.php?sc=48376&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/la-poterie-cap-d-antifer/76280;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-antifer-312-0.php;http://www.allosurf.net/meteo/surf/antifer-meteo-wam-1-wrf-5-96-h-527.html;http://www.merteo.fr/?spot=2128;http://www.meteocity.com/france/plage/le-havre_p76351/;http://maree.info/17;0->7;7->10;;-1;-1;-1;-1;-1;-1;-1;-1;0;2;2;2;0;2;2;0;http://kiteandfun.chez-alice.fr/lesautresspots.html;Titre 13;Commentaire 14;http://rkite.free.fr/phpBB3/viewtopic.php?f=6&t=233;Titre 15;Commentaire 15;;;;;;
Spot Secret - Octeville;Seine-Maritime;On navigue par Nord-Est avec des tops conditions;Si vous venez du havre allez direction Etretat par la D940. Vous allez forcément tombez après 7 ou 8 Km sur le 1er giratoire d'Octeville (pas celui avec le cheval). Arrivez a celui-ci continuez vers Etretat et 400M après le giratoire (toujours ur la 940) ;0.086623;49.554975;http://www.windfinder.com/forecast/octeville;http://www.windguru.cz/fr/index.php?sc=71154&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/octeville-sur-mer/76930; ; ;;http://www.meteocity.com/france/plage/le-havre_p76351/;http://maree.info/17;0->10;;;2;2;2;-1;-1;-1;-1;-1;-1;0;2;2;2;2;2;2;http://kiteandfun.chez-alice.fr/lespotsecret.html;Titre 14;Commentaire 15;;;;;;;;;
Sainte-Adresse;Seine-Maritime;Plage de gros galet.<br />La plage la plus polyvalente quant aux orientations de vent en Haute Normandi.<br />Bon thermique de Nord-Est au printemps et en été: de mai à juin c’est aussi la direction du thermique qui peut monter à 20 nœuds alors qu’il y a un petit s;Prendre l’A13 puis la bifurcation jusqu’au Havre. Ensuite suivre les indications pour aller vers la plage. La longer en allant vers le nord jusqu’à Saint-Adresse. On entre dans une petite cité avec voie à sens unique qu’il faut suivre jusqu’au fond.;0.074;49.505;http://www.windfinder.com/forecast/cap_de_la_heve;http://www.windguru.cz/fr/index.php?sc=48377&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/sainte-adresse/76310;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-sainte-adresse-189-0.php;http://www.allosurf.net/meteo/surf/le-havre-les-cabanes-meteo-wam-1-wrf-5-96-h-391.html;http://www.merteo.fr/?spot=2144;http://www.meteocity.com/france/plage/le-havre_p76351/;http://maree.info/19;0->7;7->10;;2;2;2;-1;-1;-1;0;0;0;2;2;2;2;2;2;2;http://www.w-idf.fr/pages/PageSpot.php?spotId=3;Titre 15;Commentaire 16;http://fr.webcams.travel/webcam/1429566220;Titre 17;Commentaire 17;http://fr.webcams.travel/webcam/1429566200-sainte-adresse-le-havre-panoramique-hd;Titre 18;Commentaire 18;http://kiteandfun.chez-alice.fr/lespotduhavre.html;Titre 19;Commentaire 19
Houlgate;Calvados;Attention à marée haute peu de place + shorebreak<br />Zone réservée pour le Kite surf se situe après le poste de secours en prenant la direction de Dives-Sur-Mer (après le Temple).<br />Spot accessible en train …;Suivre Houlgate;-0.0854873;49.2995;http://www.windfinder.com/forecast/houlgate;http://www.windguru.cz/fr/index.php?sc=48381&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/houlgate/14510;http://marine.meteoconsult.fr/meteo-marine/meteo-abords-du-port/manche/previsions-meteo-houlgate-271-0.php;http://www.allosurf.net/meteo/surf/houlgate-meteo-wam-1-wrf-5-96-h-30032.html;http://www.merteo.fr/?spot=2121;http://www.meteocity.com/france/plage/port-en-bessin-huppain_p14515/;http://maree.info/24;0->10;;;1;1;1;0;?;-1;-1;-1;-1;-1;-1;0;1;1;1;1;https://intranet.ffvl.fr/sites_pratique/voir/2167;Titre 16;Commentaire 17;http://www.kite-family.com/ou-partir-kiter-en-train-kitesurf-spot-houlgate/;Titre 18;Commentaire 18;;;;;;
Cabourg;Calvados;L’endroit est parfaitement adapté à l’apprentissage du Kitesurf grâce à un plan d’eau avec peu de profondeur à marée basse (2h avant et 2h après) et protégé des vagues par de grand bancs de sable à marée basse. Le spot fonctionne par vent de secteur Ouest;;-0.092483;49.299;http://www.windfinder.com/forecast/dives_sur_mer;http://www.windguru.cz/fr/index.php?sc=48382&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/cabourg/14390;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-cabourg-323-0.php; ;http://www.merteo.fr/?spot=2114;http://www.meteocity.com/france/plage/port-en-bessin-huppain_p14515/;http://maree.info/24;0->8;8->10;;1;1;2;1;1;0;-1;-1;-1;-1;-1;0;1;1;2;1;https://intranet.ffvl.fr/sites_pratique/voir/2249;Titre 17;Commentaire 18;;;;;;;;;
Deauville;Calvados;Espace reservé au kite.<br />Spot accessible par train.<br />Ca peut tres vite etre le chantier, sauf a merré basse ou des baïnes se forment;Suivre Deauville;0.059891;49.360814;http://fr.windfinder.com/forecast/deauville;http://www.windguru.cz/fr/index.php?sc=48380&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/deauville/14800;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-deauville-1797-0.php;http://www.allosurf.net/meteo/surf/deauville-meteo-wam-1-wrf-5-96-h-365.html;http://www.merteo.fr/?spot=2117;http://www.meteocity.com/france/plage/port-en-bessin-huppain_p14515/;http://maree.info/23;0->10;;;2;2;1;1;0;-1;-1;-1;-1;0;1;2;2;2;1;1;http://akifkite.fr/phpBB3/lc4_spot.php?action=DETAIL&spot_id=34&vec=nnnnnnnnnonnnnnn;Titre 18;Commentaire 19;;;;;;;;;
Merville-Franceville-Plage;Calvados;Le spot de franceville fonctionne essentiellement par brise marine qui vient du nord-est et se lève l'après midi. Mais il fonctionne également trés bien par NW et W, qui peut lever de grosses vagues. Les vents de sud ouest rendent le spot principal Side o;Pour accèder au spot il faut s'armer d'un peu de courage. Arrivée dans franceville il faut rejoindre le boulevard Wattier (qui longe la plage) et se diriger vers l'ouest (à gauche quoi!) au bout de ce boulevard, il y a un rond point et une barrière en boi;-0.23139;49.2828;http://www.windfinder.com/forecast/merville_franceville_plage;http://www.windguru.cz/fr/index.php?sc=549268&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/merville-franceville-plage/14810;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-merville-franceville-plage-466-0.php;http://www.allosurf.net/meteo/surf/franceville-meteo-wam-1-wrf-5-96-h-387.html;http://www.merteo.fr/?spot=2118;http://www.meteocity.com/france/plage/port-en-bessin-huppain_p14515/;http://maree.info/25;0->10;;;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;https://intranet.ffvl.fr/sites_pratique/voir/2174;Titre 19;Commentaire 20;http://www.kitetrip-planner.com/fr/guide-des-destinations/spot/1191-normandie-franceville.html;Titre 21;Commentaire 21;;;;;;
Ouistreham;Calvados;Les vents de nords sont les meilleurs souvent additionnés à une brise thermique.;De Caen prendre la 4 voie direction Ouistreham car ferry suivre cette indication puis casino ou vous trouverez un parking.Le parking est à coté de la plage;-0.253973;49.2911;http://www.windfinder.com/forecast/ouistreham;http://www.windguru.cz/fr/index.php?sc=163&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/ouistreham/14150;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/manche/previsions-meteo-ouistreham-471-0.php;http://www.allosurf.net/meteo/surf/ouistreham-meteo-wam-1-wrf-5-96-h-30190.html;http://www.merteo.fr/?spot=2126;http://www.meteocity.com/france/plage/port-en-bessin-huppain_p14515/;http://maree.info/25;0->10;;;2;2;1;1;1;1;1;0;-1;-1;-1;0;1;1;1;2;;;;;;;;;;;;
Almanarre - Madrague;Provence-Alpes-Cote d'Azur;Spot de sable.;De Hyeres prendre diréction Giens par la route du sel. Zone de kite  indiqué.;-0.253973;49.2911;http://www.windfinder.com/forecast/hyeres_almanarre;http://www.windguru.cz/fr/index.php?sc=14&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/hyeres/83400;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-almanarre-5391-0.php;http://www.allosurf.net/meteo/surf/l-almanarre-meteo-wam-5-wrf-5-96-h-755.html;http://www.merteo.fr/?spot=1223;http://www.meteocity.com/france/hyeres_v83069/;;;;;1;0;-1;-1;-1;-1;-1;0;1;1;2;2;2;2;2;1;http://federation.ffvl.fr/sites_pratique/voir/2160;Titre 21;Commentaire 22;;;;;;;;;
Almanarre - Bergerie;Provence-Alpes-Cote d'Azur;;;6.1498;43.047869;http://www.windfinder.com/forecast/hyeres_almanarre;http://www.windguru.cz/fr/index.php?sc=14&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/hyeres/83400;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-almanarre-5391-0.php;http://www.allosurf.net/meteo/surf/l-almanarre-meteo-wam-5-wrf-5-96-h-755.html;http://www.merteo.fr/?spot=1223;http://www.meteocity.com/france/hyeres_v83069/;;;;;0;1;2;2;2;2;2;1;-1;-1;-1;-1;-1;-1;-1;-1;http://arnaud.molinier.free.fr/carroalmanarre.htm;Titre 22;Commentaire 23;;;;;;;;;
Almanarre - Salins;Provence-Alpes-Cote d'Azur;;;6.181368;43.107938;http://www.windfinder.com/forecast/hyeres_almanarre;http://www.windguru.cz/fr/index.php?sc=14&sty=m_spot;http://www.meteofrance.com/previsions-meteo-france/hyeres/83400;http://marine.meteoconsult.fr/meteo-marine/meteo-spots-de-glisse/bassin-par-defaut/previsions-meteo-almanarre-5391-0.php;http://www.allosurf.net/meteo/surf/l-almanarre-meteo-wam-5-wrf-5-96-h-755.html;http://www.merteo.fr/?spot=1223;http://www.meteocity.com/france/hyeres_v83069/;;;;;-1;0;1;1;1;1;1;1;1;1;1;0;-1;-1;-1;-1;http://www.mer-vent.com/iphp/kite/spots/spot_salins.htm;Titre 23;Commentaire 24;;;;;;;;;
